case_id,client_id,case_type,state,intake_date,date_opened,date_closed,case_status,current_stage,assigned_case_manager,attorney_id,days_in_stage,medical_records_received,missing_documents,communication_count,workup_completed,case_outcome,settlement_amount,workup_completed_date,last_activity_date
CASE-001334,CL-01216,Premises Liability,NY,2023-10-31,2023-10-31,,In Workup,Workup Complete,CM-007,ATT-010,59,1,3,9,1,In Progress,,2024-01-29,2025-06-26
CASE-001335,CL-01217,Slip and Fall,TN,2025-01-15,2025-01-16,,In Negotiation,Demand Sent,CM-013,ATT-006,62,1,1,15,1,In Progress,,2025-03-14,2025-06-26
CASE-001336,CL-01218,Dog Bite,NJ,2024-07-19,2024-07-19,2025-06-30,Settled,Resolved,CM-012,ATT-006,45,1,0,7,1,Settled,13134.2,2024-09-09,2025-06-25
CASE-001337,CL-01219,Medical Malpractice,FL,2024-08-10,2024-08-13,,In Workup,Workup Complete,CM-016,ATT-005,69,1,2,10,1,In Progress,,2024-10-31,2025-05-09
CASE-001338,CL-01220,Mass Tort - Talcum,NJ,2025-06-10,2025-06-11,,Pending Records,Records Requested,CM-006,ATT-005,35,0,1,9,0,In Progress,,,2025-06-08
CASE-001339,CL-01221,Motor Vehicle Accident,OH,2025-06-09,2025-06-13,,Active - Signed,Retainer Signed,CM-004,ATT-006,62,0,2,11,0,In Progress,,,2025-06-30
CASE-001340,CL-01222,Nursing Home Negligence,AZ,2025-03-25,2025-03-27,,Active - Intake,Intake,CM-001,ATT-010,47,0,0,5,0,In Progress,,,2025-06-24
CASE-001341,CL-01223,Mass Tort - Roundup,IL,2023-11-22,2023-11-25,2025-06-15,Settled,Resolved,CM-005,ATT-011,67,1,1,14,1,Settled,184005.0,2024-02-04,2025-06-15
CASE-001342,CL-01224,Mass Tort - Roundup,TX,2024-09-14,2024-09-18,2025-06-25,Settled,Resolved,CM-002,ATT-001,24,1,0,7,1,Settled,64158.84,2024-11-09,2025-05-25
CASE-001343,CL-01224,Mass Tort - Talcum,TX,2024-09-14,2024-09-19,,Active - Intake,Intake,CM-016,ATT-012,42,1,4,11,0,In Progress,,,2025-06-12
CASE-001344,CL-01225,Mass Tort - Talcum,IL,2025-04-12,2025-04-15,2025-06-28,Settled,Resolved,CM-013,ATT-010,31,0,2,14,1,Settled,91045.47,,2025-05-29
CASE-001345,CL-01226,Workers Compensation,CA,2024-05-14,2024-05-16,,In Negotiation,Demand Sent,CM-007,ATT-011,79,1,3,10,1,In Progress,,2024-08-15,2025-06-10
CASE-001346,CL-01227,Nursing Home Negligence,MS,2023-09-16,2023-09-17,2025-06-26,Closed-Lost,Resolved,CM-007,ATT-001,41,0,2,10,1,Dismissed,,2023-12-30,2025-06-26
CASE-001347,CL-01228,Dog Bite,OH,2025-02-15,2025-02-19,,In Workup,Records Received,CM-014,ATT-006,63,1,3,11,0,In Progress,,,2025-06-27
CASE-001348,CL-01229,Workers Compensation,CA,2024-07-12,2024-07-17,,In Workup,Workup Complete,CM-013,ATT-008,76,1,2,8,1,In Progress,,2024-10-02,2025-06-21
CASE-001349,CL-01230,Motor Vehicle Accident,FL,2024-08-27,2024-08-28,,Pending Records,Records Requested,CM-012,ATT-006,44,0,1,9,0,In Progress,,,2025-06-03
CASE-001350,CL-01231,Motor Vehicle Accident,TX,2025-06-20,2025-06-25,,Pending Records,Records Requested,CM-015,ATT-005,6,1,1,6,0,In Progress,,,2025-06-17
CASE-001351,CL-01232,Medical Malpractice,NY,2024-09-21,2024-09-23,,In Workup,Workup Complete,CM-009,ATT-005,34,1,1,14,1,In Progress,,2024-12-03,2025-06-05
CASE-001352,CL-01233,Medical Malpractice,FL,2024-06-12,2024-06-12,,In Negotiation,Demand Sent,CM-017,ATT-006,37,1,2,7,1,In Progress,,2024-08-27,2025-05-11
CASE-001353,CL-01234,Premises Liability,MI,2024-05-11,2024-05-11,2025-06-30,Settled,Resolved,CM-005,ATT-001,38,1,1,10,1,Settled,64164.16,2024-07-17,2025-06-12
CASE-001354,CL-01235,Mass Tort - Roundup,FL,2024-06-08,2024-06-10,,In Negotiation,Demand Sent,CM-002,ATT-012,21,1,2,12,1,In Progress,,2024-08-30,2025-06-28
CASE-001355,CL-01235,Motor Vehicle Accident,FL,2024-06-08,2024-06-10,,In Workup,Workup Complete,CM-003,ATT-010,21,0,2,13,1,In Progress,,2024-09-25,2025-06-20
CASE-001356,CL-01236,Slip and Fall,VA,2023-09-29,2023-10-03,,Active - Intake,Intake,CM-005,ATT-007,49,1,4,7,0,In Progress,,,2025-06-24
CASE-001357,CL-01237,Premises Liability,MO,2025-02-01,2025-02-03,,In Negotiation,Negotiation,CM-011,ATT-003,33,1,0,8,1,In Progress,,2025-03-28,2025-06-29
CASE-001358,CL-01238,Motor Vehicle Accident,FL,2025-03-10,2025-03-14,,In Workup,Workup Complete,CM-012,ATT-001,4,0,0,8,1,In Progress,,,2025-06-18
CASE-001359,CL-01239,Motor Vehicle Accident,CA,2024-02-24,2024-02-27,2025-06-15,Settled,Resolved,CM-013,ATT-003,75,1,2,7,1,Settled,48253.87,2024-05-13,2025-06-15
CASE-001360,CL-01240,Workers Compensation,TX,2024-03-14,2024-03-16,,Pending Records,Records Requested,CM-001,ATT-007,39,1,4,7,0,In Progress,,,2025-06-26
CASE-001361,CL-01241,Slip and Fall,AZ,2025-04-09,2025-04-11,,In Negotiation,Negotiation,CM-018,ATT-009,52,1,3,6,1,In Progress,,,2025-06-13
CASE-001362,CL-01242,Workers Compensation,TX,2023-07-20,2023-07-25,,In Workup,Workup Complete,CM-009,ATT-012,54,0,1,8,1,In Progress,,2023-10-23,2025-06-16
CASE-001363,CL-01243,Motor Vehicle Accident,CA,2024-07-31,2024-07-31,,In Negotiation,Negotiation,CM-011,ATT-002,70,1,1,6,1,In Progress,,2024-10-02,2025-06-17
CASE-001364,CL-01244,Product Liability,TX,2024-07-03,2024-07-03,2024-12-18,Dropped,Records Received,CM-012,ATT-002,47,0,1,12,0,Dropped,,,2024-12-18
CASE-001365,CL-01245,Motor Vehicle Accident,TX,2024-11-13,2024-11-15,,Active - Signed,Retainer Signed,CM-001,ATT-005,30,0,3,11,0,In Progress,,,2025-05-03
CASE-001366,CL-01246,Motor Vehicle Accident,NJ,2023-11-02,2023-11-07,,Active - Signed,Retainer Signed,CM-013,ATT-006,12,0,1,6,0,In Progress,,,2025-06-30
CASE-001367,CL-01247,Premises Liability,TN,2024-10-30,2024-10-31,2025-01-26,Dropped,Records Requested,CM-012,ATT-003,64,0,1,11,0,Dropped,,,2025-01-26
CASE-001368,CL-01248,Motor Vehicle Accident,IL,2024-05-15,2024-05-16,,In Workup,Records Received,CM-010,ATT-007,54,0,2,8,0,In Progress,,,2025-06-27
CASE-001369,CL-01249,Motor Vehicle Accident,OH,2024-09-28,2024-10-02,2025-06-19,Settled,Resolved,CM-008,ATT-004,23,1,4,7,1,Settled,13246.64,2025-01-10,2025-06-12
CASE-001370,CL-01250,Product Liability,NC,2023-08-01,2023-08-05,,Active - Intake,Intake,CM-004,ATT-011,18,0,0,2,0,In Progress,,,2025-05-03
CASE-001371,CL-01251,Premises Liability,CA,2024-07-02,2024-07-05,,In Negotiation,Demand Sent,CM-018,ATT-006,76,1,0,7,1,In Progress,,2024-08-26,2025-06-30
CASE-001372,CL-01252,Nursing Home Negligence,CA,2024-08-01,2024-08-02,,In Negotiation,Demand Sent,CM-011,ATT-006,29,0,0,6,1,In Progress,,2024-10-17,2025-06-14
CASE-001373,CL-01253,Wrongful Death,FL,2023-12-16,2023-12-16,,In Negotiation,Demand Sent,CM-005,ATT-004,30,1,2,5,1,In Progress,,2024-02-28,2025-06-13
CASE-001374,CL-01254,Mass Tort - Camp Lejeune,NY,2023-10-15,2023-10-20,2025-06-30,Settled,Resolved,CM-014,ATT-010,59,1,1,7,1,Settled,220661.34,2023-12-23,2025-06-28
CASE-001375,CL-01255,Motor Vehicle Accident,AL,2023-11-23,2023-11-23,2025-06-19,Settled,Resolved,CM-013,ATT-007,39,1,3,4,1,Settled,55240.29,2024-02-16,2025-06-17
CASE-001376,CL-01256,Premises Liability,OH,2024-04-22,2024-04-22,,Active - Intake,Intake,CM-006,ATT-002,9,0,2,14,0,In Progress,,,2025-06-25
CASE-001377,CL-01257,Mass Tort - Roundup,CA,2023-09-13,2023-09-15,2025-06-24,Settled,Resolved,CM-010,ATT-009,30,1,1,9,1,Settled,81994.01,2023-11-20,2025-06-15
CASE-001378,CL-01257,Motor Vehicle Accident,CA,2023-09-13,2023-09-18,,In Workup,Workup Complete,CM-003,ATT-009,58,1,1,7,1,In Progress,,2023-11-21,2025-04-06
CASE-001379,CL-01258,Dog Bite,AL,2025-05-30,2025-05-31,,In Workup,Workup Complete,CM-008,ATT-005,70,1,1,14,1,In Progress,,,2025-06-28
CASE-001380,CL-01259,Motor Vehicle Accident,GA,2024-06-01,2024-06-02,,In Negotiation,Negotiation,CM-013,ATT-010,75,1,1,6,1,In Progress,,2024-08-04,2025-06-17
CASE-001381,CL-01260,Premises Liability,CA,2025-02-13,2025-02-13,,In Workup,Workup Complete,CM-014,ATT-005,4,1,1,5,1,In Progress,,2025-04-16,2025-06-19
CASE-001382,CL-01261,Product Liability,CA,2025-06-16,2025-06-20,,In Negotiation,Demand Sent,CM-003,ATT-005,45,0,1,9,1,In Progress,,,2025-06-21
CASE-001383,CL-01262,Mass Tort - Roundup,CA,2023-09-01,2023-09-01,,Pending Records,Records Requested,CM-011,ATT-004,16,0,3,7,0,In Progress,,,2025-06-06
CASE-001384,CL-01263,Wrongful Death,VA,2024-10-19,2024-10-20,2025-06-30,Settled,Resolved,CM-002,ATT-012,21,1,2,10,1,Settled,420700.52,2025-01-07,2025-05-22
CASE-001385,CL-01264,Premises Liability,NC,2025-04-07,2025-04-12,,In Workup,Records Received,CM-016,ATT-009,24,0,3,11,0,In Progress,,,2025-06-27
CASE-001386,CL-01265,Motor Vehicle Accident,FL,2024-10-08,2024-10-08,,In Negotiation,Demand Sent,CM-017,ATT-003,67,1,1,10,1,In Progress,,2024-12-14,2025-06-16
CASE-001387,CL-01265,Mass Tort - Talcum,FL,2024-10-08,2024-10-08,2025-06-30,Closed-Lost,Resolved,CM-012,ATT-001,59,1,0,11,1,Dismissed,,2024-12-03,2025-06-17
CASE-001388,CL-01266,Premises Liability,CA,2024-06-14,2024-06-18,,In Negotiation,Demand Sent,CM-005,ATT-004,69,0,1,12,1,In Progress,,2024-09-20,2025-06-16
CASE-001389,CL-01267,Dog Bite,AZ,2024-06-16,2024-06-18,,Pending Records,Records Requested,CM-014,ATT-011,46,1,4,12,0,In Progress,,,2025-06-29
CASE-001390,CL-01268,Slip and Fall,VA,2023-07-29,2023-07-29,2025-06-30,Settled,Resolved,CM-018,ATT-005,36,0,0,14,1,Settled,35573.74,2023-10-21,2025-06-11
CASE-001391,CL-01269,Premises Liability,CA,2024-08-09,2024-08-11,,In Negotiation,Negotiation,CM-010,ATT-012,13,0,0,12,1,In Progress,,2024-11-01,2025-06-30
CASE-001392,CL-01270,Workers Compensation,CA,2025-06-27,2025-06-27,,In Negotiation,Demand Sent,CM-014,ATT-008,65,1,3,8,1,In Progress,,,2025-06-17
CASE-001393,CL-01271,Slip and Fall,TX,2025-06-06,2025-06-08,,In Negotiation,Negotiation,CM-018,ATT-003,6,1,2,11,1,In Progress,,,2025-06-30
CASE-001394,CL-01272,Slip and Fall,NJ,2023-08-02,2023-08-05,,In Negotiation,Negotiation,CM-018,ATT-012,30,1,0,14,1,In Progress,,2023-10-03,2025-06-03
CASE-001395,CL-01273,Dog Bite,AL,2024-11-24,2024-11-26,,In Negotiation,Demand Sent,CM-013,ATT-009,36,1,0,5,1,In Progress,,2025-01-15,2025-06-18
CASE-001396,CL-01274,Nursing Home Negligence,FL,2024-03-12,2024-03-13,,In Negotiation,Demand Sent,CM-014,ATT-009,45,1,1,10,1,In Progress,,2024-05-19,2025-06-06
CASE-001397,CL-01274,Premises Liability,FL,2024-03-12,2024-03-15,,In Workup,Workup Complete,CM-017,ATT-005,68,1,1,7,1,In Progress,,2024-05-18,2025-06-22
CASE-001398,CL-01275,Wrongful Death,CA,2025-04-30,2025-05-03,,Pending Records,Records Requested,CM-010,ATT-006,35,1,1,10,0,In Progress,,,2025-06-24
CASE-001399,CL-01276,Premises Liability,IL,2023-08-05,2023-08-05,2025-01-15,Dropped,Demand Sent,CM-001,ATT-010,38,1,3,5,1,Dropped,,2023-10-30,2025-01-15
CASE-001400,CL-01277,Motor Vehicle Accident,GA,2025-05-23,2025-05-23,2025-06-30,Dropped,Resolved,CM-003,ATT-003,62,1,3,7,1,Dropped,,,2025-06-21
CASE-001401,CL-01277,Workers Compensation,GA,2025-05-23,2025-05-25,,Active - Intake,Intake,CM-011,ATT-003,54,1,2,8,0,In Progress,,,2025-06-30
CASE-001402,CL-01278,Mass Tort - Talcum,CA,2025-03-10,2025-03-11,,In Negotiation,Negotiation,CM-008,ATT-003,65,1,1,8,1,In Progress,,2025-05-15,2025-06-11
CASE-001403,CL-01279,Workers Compensation,TX,2023-09-28,2023-09-30,,In Workup,Records Received,CM-017,ATT-009,78,1,2,9,0,In Progress,,,2025-06-13
CASE-001404,CL-01280,Motor Vehicle Accident,MS,2023-08-16,2023-08-19,,In Workup,Workup Complete,CM-011,ATT-010,58,0,2,10,1,In Progress,,2023-12-01,2025-06-15
CASE-001405,CL-01281,Premises Liability,CA,2025-03-07,2025-03-07,,In Workup,Workup Complete,CM-013,ATT-004,4,1,2,8,1,In Progress,,2025-05-23,2025-06-10
CASE-001406,CL-01282,Nursing Home Negligence,CA,2023-10-27,2023-11-01,,In Negotiation,Negotiation,CM-013,ATT-011,54,1,2,12,1,In Progress,,2024-01-21,2025-06-28
CASE-001407,CL-01283,Motor Vehicle Accident,VA,2024-08-09,2024-08-12,2025-06-28,Settled,Resolved,CM-003,ATT-006,32,1,1,9,1,Settled,35801.04,2024-10-17,2025-06-21
CASE-001408,CL-01284,Mass Tort - Roundup,TX,2025-05-09,2025-05-10,,In Workup,Records Received,CM-009,ATT-012,7,0,2,7,0,In Progress,,,2025-06-18
CASE-001409,CL-01285,Medical Malpractice,TX,2024-08-28,2024-08-30,,In Negotiation,Negotiation,CM-005,ATT-010,45,1,2,8,1,In Progress,,2024-11-15,2025-06-27
CASE-001410,CL-01286,Motor Vehicle Accident,CA,2024-05-27,2024-05-31,,In Workup,Workup Complete,CM-012,ATT-005,50,1,1,9,1,In Progress,,2024-08-05,2025-06-13
CASE-001411,CL-01287,Motor Vehicle Accident,TX,2024-06-23,2024-06-27,2025-06-30,Settled,Resolved,CM-004,ATT-009,34,1,0,9,1,Settled,64976.91,2024-08-20,2025-06-11
CASE-001412,CL-01288,Motor Vehicle Accident,MS,2023-08-19,2023-08-21,2025-06-30,Settled,Resolved,CM-013,ATT-010,53,1,3,3,1,Settled,25509.57,2023-11-13,2025-06-23
CASE-001413,CL-01289,Wrongful Death,NY,2025-06-12,2025-06-16,2025-06-30,Settled,Resolved,CM-006,ATT-003,55,1,0,11,1,Settled,426329.63,,2025-05-20
CASE-001414,CL-01290,Premises Liability,PA,2024-03-21,2024-03-22,,In Negotiation,Negotiation,CM-008,ATT-005,23,1,0,15,1,In Progress,,2024-05-06,2025-06-27
CASE-001415,CL-01290,Motor Vehicle Accident,PA,2024-03-21,2024-03-24,,In Negotiation,Negotiation,CM-016,ATT-011,17,1,1,6,1,In Progress,,2024-05-26,2025-06-22
CASE-001416,CL-01291,Medical Malpractice,OH,2023-11-24,2023-11-27,,In Negotiation,Negotiation,CM-005,ATT-008,34,1,1,7,1,In Progress,,2024-01-30,2025-05-23
CASE-001417,CL-01292,Motor Vehicle Accident,OH,2024-02-25,2024-02-27,2025-06-30,Settled,Resolved,CM-003,ATT-009,35,1,3,10,1,Settled,36173.26,2024-05-28,2025-05-18
CASE-001418,CL-01293,Mass Tort - Roundup,OH,2025-06-10,2025-06-14,,In Negotiation,Demand Sent,CM-010,ATT-010,55,1,2,9,1,In Progress,,,2025-06-09
CASE-001419,CL-01294,Product Liability,FL,2023-09-11,2023-09-11,2024-11-14,Dropped,Workup Complete,CM-015,ATT-011,76,1,3,12,1,Dropped,,2023-12-13,2024-11-14
CASE-001420,CL-01295,Premises Liability,MS,2025-04-03,2025-04-05,,In Negotiation,Demand Sent,CM-003,ATT-002,46,1,2,11,1,In Progress,,,2025-05-23
CASE-001421,CL-01296,Motor Vehicle Accident,OH,2024-11-25,2024-11-25,,Active - Signed,Retainer Signed,CM-011,ATT-001,33,0,2,9,0,In Progress,,,2025-06-04
CASE-001422,CL-01297,Mass Tort - Camp Lejeune,MI,2025-03-03,2025-03-03,,Pending Records,Records Requested,CM-002,ATT-004,64,0,2,7,0,In Progress,,,2025-06-15
CASE-001423,CL-01298,Product Liability,FL,2025-06-17,2025-06-18,2025-06-19,Settled,Resolved,CM-018,ATT-010,42,1,0,8,1,Settled,118508.5,,2025-06-19
CASE-001424,CL-01299,Motor Vehicle Accident,TX,2025-03-14,2025-03-14,,In Negotiation,Negotiation,CM-013,ATT-010,58,1,2,7,1,In Progress,,2025-05-29,2025-06-26
CASE-001425,CL-01300,Wrongful Death,CA,2025-05-28,2025-05-31,,Active - Intake,Intake,CM-008,ATT-009,43,0,1,14,0,In Progress,,,2025-06-17
CASE-001426,CL-01301,Mass Tort - Roundup,OH,2023-10-05,2023-10-06,,Active - Signed,Retainer Signed,CM-009,ATT-007,65,1,2,3,0,In Progress,,,2025-06-24
CASE-001427,CL-01302,Premises Liability,NY,2025-02-02,2025-02-02,,In Workup,Workup Complete,CM-007,ATT-001,53,1,0,9,1,In Progress,,2025-03-28,2025-06-19
CASE-001428,CL-01303,Motor Vehicle Accident,TX,2024-08-15,2024-08-16,2025-06-16,Settled,Resolved,CM-016,ATT-006,79,0,1,10,1,Settled,15167.2,2024-11-16,2025-06-16
CASE-001429,CL-01304,Premises Liability,TX,2024-08-14,2024-08-16,2025-06-30,Settled,Resolved,CM-017,ATT-009,53,1,0,10,1,Settled,50868.68,2024-10-10,2025-06-21
CASE-001430,CL-01305,Nursing Home Negligence,CA,2025-04-27,2025-04-29,2025-06-14,Settled,Resolved,CM-016,ATT-010,31,1,1,8,1,Settled,136007.22,,2025-06-14
CASE-001431,CL-01306,Slip and Fall,TX,2025-06-14,2025-06-19,,In Negotiation,Negotiation,CM-001,ATT-004,10,1,2,12,1,In Progress,,,2025-06-15
CASE-001432,CL-01307,Motor Vehicle Accident,CA,2024-11-23,2024-11-24,,In Workup,Records Received,CM-009,ATT-003,42,1,2,4,0,In Progress,,,2025-05-14
CASE-001433,CL-01308,Motor Vehicle Accident,GA,2024-07-13,2024-07-14,,In Workup,Workup Complete,CM-017,ATT-010,19,1,2,9,1,In Progress,,2024-09-30,2025-05-01
CASE-001434,CL-01309,Product Liability,PA,2024-06-29,2024-07-04,,Active - Intake,Intake,CM-008,ATT-002,17,0,4,4,0,In Progress,,,2025-06-20
CASE-001435,CL-01309,Medical Malpractice,PA,2024-06-29,2024-07-03,,In Negotiation,Demand Sent,CM-009,ATT-006,69,1,2,14,1,In Progress,,2024-09-24,2025-06-24
CASE-001436,CL-01310,Premises Liability,PA,2024-05-21,2024-05-25,,In Workup,Workup Complete,CM-005,ATT-003,37,1,1,9,1,In Progress,,2024-07-30,2025-06-11
CASE-001437,CL-01311,Slip and Fall,CA,2024-05-05,2024-05-09,,In Workup,Records Received,CM-015,ATT-012,-20,0,0,9,0,In Progress,,,2025-06-17
CASE-001438,CL-01312,Premises Liability,PA,2024-05-24,2024-05-29,,In Negotiation,Demand Sent,CM-006,ATT-002,71,1,2,9,1,In Progress,,2024-08-15,2025-06-18
CASE-001439,CL-01313,Medical Malpractice,LA,2023-09-08,2023-09-13,2025-06-17,Settled,Resolved,CM-003,ATT-006,25,0,0,11,1,Settled,676790.47,2023-12-03,2025-05-17
CASE-001440,CL-01314,Mass Tort - Camp Lejeune,TX,2023-08-29,2023-09-01,,In Workup,Workup Complete,CM-012,ATT-001,44,1,1,11,1,In Progress,,2023-11-08,2025-06-08
CASE-001441,CL-01315,Motor Vehicle Accident,TX,2025-01-20,2025-01-25,,Pending Records,Records Requested,CM-017,ATT-012,62,1,0,8,0,In Progress,,,2025-06-04
CASE-001442,CL-01316,Medical Malpractice,OH,2024-06-24,2024-06-26,,In Negotiation,Negotiation,CM-001,ATT-011,57,1,2,13,1,In Progress,,2024-09-16,2025-06-26
CASE-001443,CL-01316,Workers Compensation,OH,2024-06-24,2024-06-25,,In Workup,Workup Complete,CM-018,ATT-004,53,0,0,9,1,In Progress,,2024-09-12,2025-06-14
CASE-001444,CL-01317,Workers Compensation,IL,2025-05-19,2025-05-20,,In Workup,Records Received,CM-011,ATT-001,67,0,2,12,0,In Progress,,,2025-06-17
CASE-001445,CL-01318,Mass Tort - Roundup,GA,2024-09-24,2024-09-26,,In Negotiation,Demand Sent,CM-003,ATT-008,46,1,3,7,1,In Progress,,2024-12-23,2025-06-15
CASE-001446,CL-01319,Workers Compensation,TN,2023-07-29,2023-08-01,,In Workup,Records Received,CM-006,ATT-003,74,1,3,8,0,In Progress,,,2025-06-12
CASE-001447,CL-01319,Workers Compensation,TN,2023-07-29,2023-07-29,2025-06-20,Closed-Lost,Resolved,CM-014,ATT-008,29,0,1,8,1,Dismissed,,2023-10-27,2025-06-07
CASE-001448,CL-01320,Product Liability,CA,2023-10-29,2023-11-03,,In Negotiation,Negotiation,CM-013,ATT-004,23,1,2,7,1,In Progress,,2024-01-18,2025-06-29
CASE-001449,CL-01321,Workers Compensation,PA,2023-12-08,2023-12-11,,Active - Signed,Retainer Signed,CM-012,ATT-009,67,1,5,4,0,In Progress,,,2025-06-27
CASE-001450,CL-01322,Motor Vehicle Accident,MI,2025-06-17,2025-06-19,2025-06-30,Settled,Resolved,CM-016,ATT-001,55,1,0,13,1,Settled,38168.94,,2025-06-17
CASE-001451,CL-01323,Motor Vehicle Accident,IL,2023-12-20,2023-12-24,,In Workup,Workup Complete,CM-010,ATT-009,63,1,2,15,1,In Progress,,2024-03-02,2025-06-26
CASE-001452,CL-01324,Nursing Home Negligence,NY,2024-07-29,2024-08-01,,In Negotiation,Demand Sent,CM-013,ATT-010,26,1,1,11,1,In Progress,,2024-10-08,2025-06-03
CASE-001453,CL-01325,Motor Vehicle Accident,TN,2025-05-23,2025-05-27,,In Negotiation,Negotiation,CM-006,ATT-002,43,1,2,12,1,In Progress,,,2025-06-24
CASE-001454,CL-01326,Mass Tort - Camp Lejeune,GA,2025-06-17,2025-06-22,,Active - Signed,Retainer Signed,CM-017,ATT-005,14,1,3,7,0,In Progress,,,2025-06-19
CASE-001455,CL-01327,Mass Tort - Roundup,CA,2024-01-06,2024-01-11,,In Workup,Records Received,CM-010,ATT-012,69,1,0,6,0,In Progress,,,2025-06-24
CASE-001456,CL-01328,Motor Vehicle Accident,FL,2023-08-08,2023-08-08,,Active - Intake,Intake,CM-016,ATT-006,59,1,3,9,0,In Progress,,,2025-06-13
CASE-001457,CL-01329,Slip and Fall,FL,2023-10-26,2023-10-26,,In Workup,Records Received,CM-005,ATT-006,28,0,3,6,0,In Progress,,,2025-06-26
CASE-001458,CL-01330,Premises Liability,MS,2023-08-19,2023-08-19,,In Workup,Workup Complete,CM-013,ATT-006,49,1,2,5,1,In Progress,,2023-11-01,2025-06-13
CASE-001459,CL-01331,Premises Liability,MS,2023-11-29,2023-12-01,,In Workup,Records Received,CM-006,ATT-002,20,1,3,13,0,In Progress,,,2025-06-21
CASE-001460,CL-01332,Workers Compensation,PA,2024-08-29,2024-09-03,,In Negotiation,Demand Sent,CM-017,ATT-011,63,1,0,13,1,In Progress,,2024-10-31,2025-06-09
CASE-001461,CL-01333,Nursing Home Negligence,MI,2025-05-07,2025-05-11,2025-06-30,Settled,Resolved,CM-008,ATT-004,64,1,3,15,1,Settled,94834.17,,2025-06-25
CASE-001462,CL-01334,Motor Vehicle Accident,LA,2024-08-10,2024-08-11,,Pending Records,Records Requested,CM-015,ATT-006,50,1,2,6,0,In Progress,,,2025-06-05
CASE-001463,CL-01335,Motor Vehicle Accident,FL,2024-10-03,2024-10-08,,In Negotiation,Negotiation,CM-003,ATT-007,67,1,1,5,1,In Progress,,2024-12-09,2025-06-30
CASE-001464,CL-01336,Slip and Fall,LA,2023-12-05,2023-12-05,,In Workup,Workup Complete,CM-009,ATT-010,48,0,2,11,1,In Progress,,2024-03-19,2025-06-22
CASE-001465,CL-01337,Product Liability,TX,2025-02-06,2025-02-11,,In Negotiation,Demand Sent,CM-002,ATT-009,26,1,1,9,1,In Progress,,2025-04-18,2025-06-18
CASE-001466,CL-01338,Motor Vehicle Accident,NJ,2024-09-28,2024-10-02,,In Workup,Records Received,CM-001,ATT-006,31,1,3,7,0,In Progress,,,2025-06-11
CASE-001467,CL-01339,Motor Vehicle Accident,CA,2025-04-01,2025-04-02,2025-05-12,Dropped,Retainer Signed,CM-006,ATT-008,4,0,3,8,0,Dropped,,,2025-05-12
CASE-001468,CL-01340,Nursing Home Negligence,NY,2025-05-31,2025-06-02,,In Workup,Workup Complete,CM-007,ATT-011,6,1,0,8,1,In Progress,,,2025-04-22
CASE-001469,CL-01341,Premises Liability,LA,2024-04-25,2024-04-29,2025-06-17,Settled,Resolved,CM-014,ATT-008,80,1,0,9,1,Settled,37174.75,2024-06-22,2025-06-17
CASE-001470,CL-01342,Workers Compensation,FL,2023-09-08,2023-09-08,,In Negotiation,Demand Sent,CM-009,ATT-006,65,0,0,7,1,In Progress,,2023-11-24,2025-06-29
CASE-001471,CL-01343,Motor Vehicle Accident,FL,2023-12-27,2023-12-27,,In Negotiation,Negotiation,CM-014,ATT-003,63,0,1,13,1,In Progress,,2024-03-31,2025-06-27
CASE-001472,CL-01344,Motor Vehicle Accident,NY,2024-06-19,2024-06-23,,In Negotiation,Demand Sent,CM-012,ATT-003,15,1,1,12,1,In Progress,,2024-08-31,2025-06-24
CASE-001473,CL-01345,Motor Vehicle Accident,NC,2025-05-29,2025-05-29,2025-06-30,Closed-Lost,Resolved,CM-001,ATT-008,10,1,1,14,1,Dismissed,,,2025-06-09
CASE-001474,CL-01346,Wrongful Death,FL,2024-05-16,2024-05-21,,Active - Signed,Retainer Signed,CM-006,ATT-006,43,0,2,7,0,In Progress,,,2025-06-13
CASE-001475,CL-01347,Motor Vehicle Accident,CA,2025-01-12,2025-01-13,,In Workup,Records Received,CM-016,ATT-012,38,1,1,6,0,In Progress,,,2025-06-24
CASE-001476,CL-01348,Mass Tort - Talcum,MI,2024-08-12,2024-08-17,,In Negotiation,Negotiation,CM-001,ATT-008,50,1,0,11,1,In Progress,,2024-10-12,2025-06-15
CASE-001477,CL-01349,Workers Compensation,TX,2023-11-18,2023-11-21,2025-06-30,Settled,Resolved,CM-018,ATT-003,86,1,5,11,1,Settled,17299.24,2024-03-16,2025-06-29
CASE-001478,CL-01350,Dog Bite,GA,2024-03-31,2024-04-05,,In Workup,Workup Complete,CM-008,ATT-002,74,0,0,9,1,In Progress,,2024-06-23,2025-06-05
CASE-001479,CL-01351,Motor Vehicle Accident,OH,2024-10-20,2024-10-25,,In Negotiation,Negotiation,CM-018,ATT-007,58,1,2,7,1,In Progress,,2025-01-09,2025-06-29
CASE-001480,CL-01352,Wrongful Death,TX,2024-11-01,2024-11-03,2024-12-09,Dropped,Intake,CM-016,ATT-006,53,0,1,7,0,Dropped,,,2024-12-09
CASE-001481,CL-01353,Premises Liability,AL,2024-06-18,2024-06-20,2025-06-30,Settled,Resolved,CM-012,ATT-009,46,1,1,11,1,Settled,50880.46,2024-08-27,2025-05-30
CASE-001482,CL-01354,Workers Compensation,GA,2023-12-29,2024-01-03,2025-06-30,Settled,Resolved,CM-016,ATT-012,27,1,0,12,1,Settled,18189.71,2024-02-29,2025-05-16
